class	carn	carn	carn	carn	carn	carn	carn	carn	carn	herb	herb	herb	herb	herb	herb	herb	herb	herb	herb	omni	omni	omni	omni	omni	omni	omni	omni	omni	omni
subclass	carn_NA	carn_NA	carn_NA	carn_NA	carn_NA	carn_NA	carn_NA	carn_NA	carn_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA
subject	SRR11927435	SRR11927436	SRR11927437	SRR11927438	SRR11927439	SRR11927440	SRR11927441	SRR11927452	SRR11927463	SRR11927453	SRR11927454	SRR11927455	SRR11927456	SRR11927457	SRR11927458	SRR11927459	SRR11927460	SRR11927461	SRR11927462	SRR11927442	SRR11927443	SRR11927444	SRR11927445	SRR11927446	SRR11927447	SRR11927448	SRR11927449	SRR11927450	SRR11927451
WP_016275516	0.0	0.0	0.0	0.0	0.0	0.0	192.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WP_016275534	0.0	0.0	0.0	0.0	0.0	0.0	353.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WP_018666879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	410.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WP_021986762	132.0	96.0	85.0	377.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	21.0	202.0	335.0	74.0
WP_023923965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
WP_024293522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	342.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WP_024834994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	385.0	0.0	342.0	0.0	63.0	0.0	0.0	0.0	863.0	0.0	0.0	0.0	0.0	848.0	0.0	0.0	0.0	0.0	0.0
WP_026890029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	220.0	0.0	197.0	0.0	46.0	0.0	0.0	0.0	539.0	1.0	0.0	2.0	11.0	518.0	0.0	74.0	0.0	0.0	21.0
WP_026891906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	351.0	0.0	313.0	0.0	70.0	0.0	0.0	0.0	799.0	0.0	0.0	0.0	0.0	843.0	0.0	0.0	0.0	0.0	0.0
WP_032935898	0.0	0.0	0.0	0.0	0.0	0.0	410.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
